row_index,column_name,value,verdict,reason,action
14,multivariate,,Uncertain,Isolation Forest anomaly detection,flagged
19,multivariate,,Uncertain,Isolation Forest anomaly detection,flagged
20,multivariate,,Uncertain,Isolation Forest anomaly detection,flagged
28,multivariate,,Uncertain,Isolation Forest anomaly detection,flagged
47,multivariate,,Uncertain,Isolation Forest anomaly detection,flagged
98,multivariate,,Uncertain,Isolation Forest anomaly detection,flagged
142,multivariate,,Uncertain,Isolation Forest anomaly detection,flagged
169,multivariate,,Uncertain,Isolation Forest anomaly detection,flagged
183,multivariate,,Uncertain,Isolation Forest anomaly detection,flagged
189,multivariate,,Uncertain,Isolation Forest anomaly detection,flagged
190,multivariate,,Uncertain,Isolation Forest anomaly detection,flagged
215,multivariate,,Uncertain,Isolation Forest anomaly detection,flagged
237,multivariate,,Uncertain,Isolation Forest anomaly detection,flagged
253,multivariate,,Uncertain,Isolation Forest anomaly detection,flagged
283,multivariate,,Uncertain,Isolation Forest anomaly detection,flagged
299,multivariate,,Uncertain,Isolation Forest anomaly detection,flagged
321,multivariate,,Uncertain,Isolation Forest anomaly detection,flagged
335,multivariate,,Uncertain,Isolation Forest anomaly detection,flagged
