row_index,column_name,value,verdict,reason,action
82,mean radius,25.22,Likely Real,"mean radius=25.2200 IQR outlier (bounds: [5.5800, 21.9000])",flagged
108,mean radius,22.27,Likely Real,"mean radius=22.2700 IQR outlier (bounds: [5.5800, 21.9000])",flagged
122,mean radius,24.25,Likely Real,"mean radius=24.2500 IQR outlier (bounds: [5.5800, 21.9000])",flagged
164,mean radius,23.27,Likely Real,"mean radius=23.2700 IQR outlier (bounds: [5.5800, 21.9000])",flagged
180,mean radius,27.22,Likely Real,"mean radius=27.2200 IQR outlier (bounds: [5.5800, 21.9000])",flagged
202,mean radius,23.29,Likely Real,"mean radius=23.2900 IQR outlier (bounds: [5.5800, 21.9000])",flagged
212,mean radius,28.11,Likely Real,"mean radius=28.1100 IQR outlier (bounds: [5.5800, 21.9000])",flagged
236,mean radius,23.21,Likely Real,"mean radius=23.2100 IQR outlier (bounds: [5.5800, 21.9000])",flagged
339,mean radius,23.51,Likely Real,"mean radius=23.5100 IQR outlier (bounds: [5.5800, 21.9000])",flagged
352,mean radius,25.73,Likely Real,"mean radius=25.7300 IQR outlier (bounds: [5.5800, 21.9000])",flagged
369,mean radius,22.01,Likely Real,"mean radius=22.0100 IQR outlier (bounds: [5.5800, 21.9000])",flagged
461,mean radius,27.42,Likely Real,"mean radius=27.4200 IQR outlier (bounds: [5.5800, 21.9000])",flagged
503,mean radius,23.09,Likely Real,"mean radius=23.0900 IQR outlier (bounds: [5.5800, 21.9000])",flagged
521,mean radius,24.63,Likely Real,"mean radius=24.6300 IQR outlier (bounds: [5.5800, 21.9000])",flagged
219,mean texture,32.47,Likely Real,"mean texture=32.4700 IQR outlier (bounds: [7.7250, 30.2450])",flagged
232,mean texture,33.81,Likely Real,"mean texture=33.8100 IQR outlier (bounds: [7.7250, 30.2450])",flagged
239,mean texture,39.28,Likely Real,"mean texture=39.2800 IQR outlier (bounds: [7.7250, 30.2450])",flagged
259,mean texture,33.56,Likely Real,"mean texture=33.5600 IQR outlier (bounds: [7.7250, 30.2450])",flagged
265,mean texture,31.12,Likely Real,"mean texture=31.1200 IQR outlier (bounds: [7.7250, 30.2450])",flagged
455,mean texture,30.72,Likely Real,"mean texture=30.7200 IQR outlier (bounds: [7.7250, 30.2450])",flagged
562,mean texture,30.62,Likely Real,"mean texture=30.6200 IQR outlier (bounds: [7.7250, 30.2450])",flagged
82,mean perimeter,171.5,Likely Real,"mean perimeter=171.5000 IQR outlier (bounds: [31.7750, 147.4950])",flagged
108,mean perimeter,152.8,Likely Real,"mean perimeter=152.8000 IQR outlier (bounds: [31.7750, 147.4950])",flagged
122,mean perimeter,166.2,Likely Real,"mean perimeter=166.2000 IQR outlier (bounds: [31.7750, 147.4950])",flagged
164,mean perimeter,152.1,Likely Real,"mean perimeter=152.1000 IQR outlier (bounds: [31.7750, 147.4950])",flagged
180,mean perimeter,182.1,Likely Real,"mean perimeter=182.1000 IQR outlier (bounds: [31.7750, 147.4950])",flagged
202,mean perimeter,158.9,Likely Real,"mean perimeter=158.9000 IQR outlier (bounds: [31.7750, 147.4950])",flagged
212,mean perimeter,188.5,Likely Real,"mean perimeter=188.5000 IQR outlier (bounds: [31.7750, 147.4950])",flagged
236,mean perimeter,153.5,Likely Real,"mean perimeter=153.5000 IQR outlier (bounds: [31.7750, 147.4950])",flagged
339,mean perimeter,155.1,Likely Real,"mean perimeter=155.1000 IQR outlier (bounds: [31.7750, 147.4950])",flagged
352,mean perimeter,174.2,Likely Real,"mean perimeter=174.2000 IQR outlier (bounds: [31.7750, 147.4950])",flagged
461,mean perimeter,186.9,Likely Real,"mean perimeter=186.9000 IQR outlier (bounds: [31.7750, 147.4950])",flagged
