customer_id,signup_date,region,plan_type,acquisition_channel,age,account_tenure_days,avg_order_value,orders_last_90d,app_sessions_last_30d,support_tickets_90d,late_delivery_rate,avg_delivery_delay_hours,discount_ratio,product_variety_score,return_rate_90d,competitor_price_index,days_since_last_order,account_status_30d,delay_risk_band,discount_band
PC100000,2024-01-05,metro,premium,paid_search,26,361,38.7,9,12,0,0.109,6.4,0.174,62.4,0.005,0.866,36.9,0,low,healthy
PC100001,2024-08-18,rural,basic,organic,39,135,108.26,4,8,1,0.251,50.42,0.25,71.1,0.043,0.98,41.9,0,critical,healthy
PC100002,2024-07-22,suburban,plus,referral,48,162,21.86,9,12,2,0.027,12.02,0.308,59.4,0.041,1.073,53.9,1,low,healthy
PC100003,2024-02-29,rural,premium,affiliate,52,306,47.84,12,12,2,0.402,36.09,0.214,55.5,0.143,1.198,4.4,0,high,healthy
PC100004,2024-10-01,metro,plus,social,39,91,45.16,13,18,2,0.121,35.37,0.081,36.0,0.087,1.232,14.5,1,high,low
PC100005,2023-07-20,suburban,premium,referral,33,530,30.7,11,12,2,0.171,15.93,0.154,68.1,0.072,0.98,16.1,0,low,healthy
PC100006,2024-10-31,metro,plus,social,30,61,36.8,8,13,0,0.054,9.47,0.154,67.1,0.052,0.81,37.1,0,low,healthy
PC100007,2024-07-27,suburban,plus,organic,32,157,37.04,4,7,1,0.034,12.73,0.199,62.1,0.025,1.188,86.0,0,low,healthy
PC100008,2024-10-05,suburban,basic,organic,41,87,70.85,11,15,0,0.082,9.53,0.279,69.0,0.021,1.029,35.6,0,low,healthy
PC100009,2023-03-15,metro,basic,social,27,657,48.13,4,6,1,0.357,21.77,0.182,65.6,0.043,0.831,27.0,1,watch,healthy
PC100010,2024-11-22,metro,plus,referral,36,39,64.06,4,9,1,0.127,7.15,0.345,69.4,0.252,1.112,26.1,0,low,healthy
PC100011,2024-05-04,metro,plus,social,48,241,43.3,11,18,0,0.006,8.08,0.123,60.0,0.046,0.777,6.3,0,low,healthy
PC100012,2023-08-19,suburban,basic,organic,46,500,55.76,9,12,1,0.037,8.05,0.375,73.2,0.027,1.021,16.6,0,low,high
PC100013,2023-09-26,suburban,plus,referral,52,462,48.95,11,14,2,0.032,4.73,0.173,62.3,0.139,1.068,19.1,0,low,healthy
PC100014,2024-11-05,metro,premium,organic,25,56,148.23,12,13,2,0.34,18.78,0.103,78.9,0.04,0.964,27.6,0,watch,healthy
PC100015,2024-09-27,rural,premium,social,35,95,53.24,8,10,0,0.176,14.32,0.167,62.1,0.05,1.079,16.4,0,low,healthy
PC100016,2024-03-12,metro,basic,organic,47,294,99.5,3,13,0,0.19,8.44,0.273,51.1,0.041,0.919,31.5,0,low,healthy
PC100017,2024-08-01,suburban,plus,paid_search,35,152,97.03,11,17,1,0.12,14.16,0.24,34.4,0.05,1.031,18.3,0,low,healthy
PC100018,2023-12-31,metro,plus,social,36,366,60.1,7,13,1,0.241,19.1,0.37,74.5,0.351,0.992,17.4,0,watch,high
PC100019,2024-01-07,metro,basic,paid_search,30,359,34.48,8,18,5,0.16,17.8,0.211,56.0,0.101,0.99,35.7,0,low,healthy
PC100020,2023-02-14,metro,premium,paid_search,48,686,77.44,12,12,0,0.249,33.83,0.205,72.7,0.04,1.208,51.1,0,high,healthy
PC100021,2024-05-17,metro,basic,referral,27,228,26.94,4,10,2,0.183,18.67,0.191,52.3,0.066,0.758,27.2,0,watch,healthy
PC100022,2024-08-12,suburban,plus,organic,52,141,48.72,8,8,2,0.146,9.4,0.047,94.9,0.082,0.882,69.9,0,low,low
PC100023,2024-05-05,metro,basic,affiliate,56,240,74.26,4,9,1,0.095,17.33,0.223,52.2,0.127,1.14,54.3,0,low,healthy
PC100024,2024-03-25,metro,basic,paid_search,46,281,43.81,7,6,1,0.209,21.89,0.177,69.0,0.063,0.734,17.9,0,watch,healthy
PC100025,2023-07-16,rural,plus,social,49,534,77.12,6,9,0,0.462,25.38,0.079,69.0,0.06,0.85,30.7,1,watch,low
PC100026,2024-06-22,metro,basic,affiliate,28,192,34.02,5,11,1,0.263,36.55,0.378,57.1,0.085,1.01,27.6,0,high,high
PC100027,2024-10-30,suburban,premium,affiliate,41,62,34.71,9,15,1,0.254,24.19,0.407,47.7,0.12,0.858,38.8,0,watch,high
PC100028,2024-11-20,metro,plus,referral,23,41,34.25,7,14,0,0.026,5.9,0.265,46.9,0.062,0.869,35.6,0,low,healthy
PC100029,2024-01-27,rural,plus,social,39,339,101.8,5,12,3,0.349,23.75,0.153,57.4,0.1,1.113,31.7,0,watch,healthy
PC100030,2024-04-01,suburban,premium,paid_search,31,274,21.66,16,12,0,0.076,14.74,0.6,53.2,0.026,1.246,10.4,0,low,high
PC100031,2023-08-31,suburban,premium,organic,48,488,33.41,14,19,1,0.094,8.06,0.153,49.9,0.046,0.968,22.0,0,low,healthy
PC100032,2024-07-26,metro,plus,paid_search,35,158,75.68,7,14,1,0.094,24.77,0.394,58.4,0.031,1.123,21.6,0,watch,high
PC100033,2023-10-08,metro,basic,organic,32,450,50.92,10,16,0,0.186,16.73,0.184,50.5,0.065,1.135,13.3,0,low,healthy
PC100034,2024-04-04,metro,basic,referral,42,271,38.4,7,9,0,0.065,12.46,0.17,68.0,0.108,0.982,48.6,0,low,healthy
PC100035,2024-07-15,metro,basic,organic,20,169,63.43,10,10,2,0.071,10.26,0.185,83.2,0.096,0.908,9.4,1,low,healthy
PC100036,2023-11-29,metro,plus,referral,27,398,85.99,6,8,1,0.168,13.11,0.32,66.6,0.042,0.846,38.4,0,low,healthy
PC100037,2023-09-08,metro,plus,paid_search,33,480,126.54,4,10,1,0.223,14.12,0.174,96.8,0.178,1.249,34.5,0,low,healthy
PC100038,2023-01-01,suburban,basic,organic,58,935,61.28,9,12,1,0.349,34.59,0.346,61.2,0.127,0.955,12.3,0,high,healthy
PC100039,2024-11-15,rural,basic,organic,60,46,81.66,6,13,1,0.281,37.42,0.131,46.2,0.109,1.027,31.8,0,high,healthy
PC100040,2024-10-19,rural,plus,paid_search,26,73,61.89,7,13,2,0.094,31.8,0.051,47.0,0.062,0.947,41.3,0,high,low
