customer_id,signup_date,region,plan_type,acquisition_channel,age,account_tenure_days,avg_order_value,orders_last_90d,app_sessions_last_30d,support_tickets_90d,late_delivery_rate,avg_delivery_delay_hours,discount_ratio,product_variety_score,return_rate_90d,competitor_price_index,days_since_last_order,account_status_30d,post_period_refund_flag,account_note_post_period,is_outlier
PC101332,2024-05-19,metro,basic,social,37.0,226,52.37,6,10,0,0.128,12.12,0.306,33.0,0.041,0.916,27.1,0,N,support,0
PC100639,2024-07-15,rural,basic,organic,29.0,169,86.32,8,12,0,0.064,13.66,0.651,45.3,0.069,1.033,39.7,0,N,support,1
PC100255,2024-06-30,metro,basic,paid_search,37.0,184,43.59,15,17,0,0.398,18.09,0.198,78.1,0.05,0.841,20.8,0,N,support,0
PC100638,2024-02-23,metro,premium,referral,41.0,312,38.89,8,16,1,0.187,20.56,0.047,55.3,0.196,1.046,16.7,0,N,support,0
PC100386,2024-08-06,rural,basic,affiliate,24.0,147,25.78,15,14,0,0.182,26.12,0.429,38.5,0.092,0.813,44.3,0,N,support,0
PC100813,2023-11-18,suburban,basic,referral,34.0,409,50.29,8,13,0,0.018,8.9,0.092,90.3,0.002,0.989,11.5,0,N,support,0
PC100537,2024-08-24,metro,basic,social,34.0,129,42.21,10,9,0,0.351,36.74,0.164,74.3,0.022,1.289,19.6,0,N,support,0
PC100775,2024-04-01,metro,plus,social,44.0,274,39.83,8,15,1,0.127,7.72,0.423,54.9,0.052,1.217,33.8,0,N,support,0
PC100266,2024-10-14,metro,plus,affiliate,28.0,78,60.91,8,14,0,0.043,6.33,0.455,42.1,0.056,0.935,15.3,0,N,support,0
PC100392,2024-04-06,metro,basic,paid_search,46.0,269,90.64,6,10,1,0.177,31.36,0.146,57.1,0.028,1.075,22.3,0,N,support,0
PC101643,2023-11-07,metro,plus,paid_search,41.0,420,38.97,6,15,2,0.228,25.75,0.25,63.5,0.047,0.88,30.5,0,Y,support,0
PC101821,2024-06-18,rural,plus,social,18.0,196,41.2,3,12,0,0.277,26.34,0.182,72.5,0.032,1.135,44.9,0,N,support,0
PC101071,2024-02-28,suburban,plus,paid_search,40.0,307,43.43,6,7,1,0.167,8.25,0.169,68.8,0.065,1.032,24.4,0,N,support,0
PC100127,2024-06-21,suburban,basic,organic,57.0,193,71.55,10,11,0,0.1,5.75,0.098,50.5,0.107,0.905,8.5,0,N,support,0
PC100501,2024-09-02,metro,basic,social,25.0,120,46.5,11,9,1,0.167,19.81,0.225,62.7,0.076,0.951,35.0,0,N,support,0
PC100457,2024-07-07,metro,plus,social,20.0,177,55.11,9,13,1,0.05,10.28,0.095,60.4,0.149,1.064,12.8,0,N,support,0
PC100706,2024-05-04,suburban,premium,organic,45.0,241,51.57,9,15,0,0.134,15.94,0.256,68.1,0.185,0.933,36.4,0,N,support,0
PC100161,2023-09-05,metro,basic,paid_search,40.0,483,53.53,8,11,1,0.126,22.14,0.239,53.6,0.111,0.858,20.0,0,N,support,0
PC101730,2024-08-08,rural,premium,organic,63.0,145,103.81,10,12,0,0.127,16.91,0.096,52.0,0.068,1.18,20.0,0,Y,support,0
PC101079,2024-01-03,metro,basic,referral,33.0,363,48.77,6,10,1,0.108,24.81,0.051,55.4,0.087,0.74,17.2,1,Y,support,1
PC100312,2024-03-02,rural,basic,affiliate,43.0,304,26.61,7,11,2,0.136,17.14,0.601,51.0,0.103,1.077,13.3,0,N,support,0
PC101826,2024-10-24,metro,basic,organic,37.0,68,53.72,1,11,0,0.036,4.78,0.047,44.2,0.052,1.008,67.2,0,N,support,0
PC101579,2024-02-23,suburban,premium,social,57.0,312,53.82,8,11,2,0.318,29.4,0.184,84.1,0.171,1.028,23.2,0,N,support,0
PC100033,2023-10-08,metro,basic,organic,32.0,450,50.92,10,16,0,0.186,16.73,0.184,50.5,0.065,1.135,13.3,0,N,support,0
PC102143,2024-07-02,metro,plus,social,51.0,182,25.58,10,19,0,0.352,39.69,0.626,73.4,0.153,0.839,11.7,0,N,support,1
PC102071,2024-02-10,rural,plus,paid_search,42.0,325,53.26,7,11,0,0.33,29.36,0.496,73.2,0.125,0.936,30.9,0,N,support,0
PC100952,2024-09-24,metro,basic,referral,26.0,98,37.35,9,14,1,0.09,18.25,0.133,45.7,0.081,1.082,17.0,1,N,support,1
PC102000,2023-07-17,rural,basic,organic,42.0,533,45.26,8,14,0,0.293,22.22,0.277,53.6,0.077,1.143,8.8,0,N,support,0
PC100118,2024-09-03,metro,basic,social,48.0,119,98.66,6,12,0,0.205,20.0,0.075,83.4,0.054,0.995,30.0,0,N,support,0
PC102009,2024-11-01,rural,plus,paid_search,33.0,60,49.74,5,11,0,0.079,34.99,0.271,59.0,0.081,0.808,24.8,0,N,support,0
PC101379,2024-05-15,metro,basic,referral,41.0,230,99.32,6,10,2,0.141,24.28,0.231,88.4,0.07,1.094,19.8,1,Y,support,1
PC100921,2023-12-18,metro,basic,affiliate,52.0,379,39.6,11,14,1,0.071,26.94,0.435,61.6,0.037,0.98,5.5,0,N,support,0
PC100732,2023-11-27,suburban,basic,social,45.0,400,11.3,9,11,0,0.079,9.37,0.151,64.7,0.068,0.869,13.5,0,N,support,0
PC101257,2024-08-03,metro,basic,paid_search,18.0,150,44.66,6,8,0,0.426,43.34,0.107,76.2,0.018,1.097,29.5,0,N,support,0
PC101283,2023-10-07,suburban,basic,paid_search,39.0,451,122.0,13,15,0,0.292,12.93,0.219,66.9,0.057,1.167,8.5,0,N,support,1
PC101364,2024-05-01,metro,plus,organic,32.0,244,48.36,6,12,2,0.077,10.91,0.191,41.5,0.09,1.011,56.6,0,N,support,0
PC100274,2023-11-29,metro,plus,referral,32.0,398,26.86,11,8,1,0.264,16.44,0.158,64.2,0.093,1.052,13.2,0,Y,support,0
PC101377,2024-04-12,rural,basic,social,30.0,263,39.99,5,13,1,0.264,22.77,0.209,94.7,0.1,1.077,48.2,0,N,support,0
PC102117,2024-04-20,metro,plus,paid_search,24.0,255,48.79,8,10,0,0.032,8.24,0.208,44.3,0.021,1.244,12.6,0,N,support,0
PC100041,2024-07-20,suburban,basic,organic,34.0,164,33.98,7,11,0,0.096,22.88,0.049,87.1,0.053,1.13,59.9,0,N,support,0
PC100339,2024-11-03,suburban,basic,organic,33.0,58,35.01,10,11,1,0.021,4.74,0.248,62.1,0.04,1.071,18.9,0,N,support,0
PC101914,2024-07-23,suburban,plus,affiliate,31.0,161,54.12,8,11,0,0.243,23.24,0.124,38.3,0.039,1.033,14.8,0,N,support,0
PC100531,2024-01-27,rural,basic,social,43.0,339,42.19,4,9,2,0.127,11.58,0.342,52.2,1.6,0.897,33.7,1,N,price,1
PC100542,2024-04-14,suburban,plus,organic,28.0,261,87.24,6,13,0,0.118,14.85,0.131,22.6,0.045,1.0,36.3,0,N,support,0
PC100901,2024-02-17,metro,plus,paid_search,25.0,318,69.06,10,10,1,0.465,20.36,0.2,78.3,0.14,0.966,20.9,1,Y,price,1
PC100311,2023-10-07,suburban,basic,referral,39.0,451,104.29,11,14,3,0.303,26.97,0.203,44.8,0.158,1.051,37.9,1,Y,price,1
PC100360,2024-03-12,metro,plus,organic,26.0,294,65.65,10,7,1,0.186,7.76,0.164,81.0,0.049,0.814,49.1,0,Y,support,0
PC100839,2024-09-05,suburban,plus,organic,19.0,117,89.22,1,10,2,0.08,14.96,0.301,46.6,0.075,0.994,51.1,0,N,support,0
PC101358,2024-08-08,metro,plus,affiliate,37.0,145,41.39,13,14,0,0.068,19.7,0.318,75.9,0.04,0.947,13.9,0,N,support,0
PC100261,2024-06-22,metro,basic,paid_search,47.0,192,74.67,9,15,0,0.151,23.02,0.558,56.4,0.065,0.928,25.7,0,N,support,0
PC100374,2024-10-14,metro,premium,referral,20.0,78,51.99,5,16,0,0.096,8.63,0.47,47.0,0.046,0.989,30.9,0,N,support,0
PC100032,2024-07-26,metro,plus,paid_search,35.0,158,51.99,7,14,1,0.094,24.77,0.394,58.4,0.031,1.123,21.6,0,N,support,0
PC100680,2023-01-31,metro,plus,social,28.0,700,44.23,2,5,4,0.169,28.88,0.154,61.7,0.081,1.004,39.6,0,N,support,1
PC101011,2024-05-04,suburban,basic,referral,28.0,241,50.06,9,9,2,0.238,23.35,0.227,57.4,0.113,1.103,23.8,0,N,support,0
PC101864,2024-11-09,rurral,premium,organic,42.0,52,27.65,8,14,0,0.124,42.02,0.063,78.5,0.101,1.0,42.6,0,N,support,0
PC100675,2024-07-12,suburban,plus,organic,41.0,172,70.79,6,9,0,0.112,13.25,0.196,52.0,0.093,1.072,37.7,0,N,support,0
PC101243,2024-03-11,metro,basic,paid_search,21.0,295,38.85,5,10,0,0.227,16.78,0.042,67.0,0.065,0.904,49.9,0,N,support,0
PC102034,2023-10-12,metro,basic,social,18.0,446,71.99,11,8,3,0.332,25.88,0.389,35.0,0.085,1.367,21.3,0,N,support,1
PC100485,2024-11-03,metro,basic,affiliate,33.0,58,26.67,6,11,2,0.273,13.85,0.3,38.4,0.059,0.812,31.9,0,N,support,0
PC100761,2024-08-03,rural,premium,organic,30.0,150,90.36,12,9,0,0.364,30.15,0.324,100.0,0.104,0.951,17.2,0,N,support,0
PC101337,2024-01-12,rural,plus,affiliate,38.0,354,62.21,4,13,0,0.151,40.42,0.286,97.0,0.105,0.824,37.8,0,N,support,0
PC100522,2024-05-10,rural,basic,organic,59.0,235,48.05,7,9,1,0.139,21.72,0.415,42.7,0.23,0.978,38.6,0,N,support,1
PC100959,2024-09-13,suburban,plus,paid_search,46.0,109,46.04,10,14,0,0.195,14.57,0.112,78.0,0.106,1.042,23.2,0,N,support,0
PC101017,2024-08-20,metro,basic,paid_search,38.0,133,70.51,4,13,3,0.216,24.1,0.247,43.3,0.1,0.986,47.0,0,N,support,1
PC101551,2024-07-16,suburban,basic,organic,18.0,168,63.05,8,9,1,0.128,6.99,0.101,76.3,0.053,0.988,19.8,0,N,support,0
PC100251,2023-04-19,metro,plus,organic,39.0,622,44.62,7,11,1,0.002,13.27,0.314,92.1,0.046,0.839,24.6,0,N,support,0
PC101166,2024-05-12,suburban,premium,paid_search,39.0,233,42.99,12,14,0,0.333,16.5,0.106,91.1,0.156,1.189,28.7,0,N,support,0
PC100954,2023-11-23,suburban,plus,paid_search,47.0,404,66.83,7,10,2,0.151,12.92,0.161,58.2,0.048,0.803,53.1,0,N,support,0
PC100676,2023-08-03,metro,basic,organic,48.0,516,42.1,5,9,0,0.129,26.53,0.261,68.7,0.102,1.098,37.0,0,N,support,0
PC101559,2024-08-07,rural,premium,organic,18.0,146,45.09,5,12,1,0.345,34.34,0.547,45.6,0.034,0.87,32.8,0,N,support,0
PC101924,2024-05-16,metro,basic,social,40.0,229,84.1,10,15,0,0.02,10.88,0.222,60.8,0.079,1.008,15.0,0,N,support,0
PC101081,2024-09-04,rural,plus,affiliate,46.0,118,140.69,7,13,0,0.218,13.72,0.563,70.2,0.036,0.873,19.1,0,N,support,1
PC100997,2024-07-16,suburban,plus,affiliate,25.0,168,126.47,9,17,2,0.151,23.22,0.447,56.0,0.087,0.888,33.6,1,Y,variety,1
PC101937,2023-07-08,metro,plus,organic,47.0,542,66.82,5,8,1,0.214,20.08,0.389,52.4,0.114,0.96,87.9,0,N,support,1
PC102089,2024-07-22,metro,plus,referral,49.0,162,59.3,8,9,0,0.136,22.03,0.033,39.7,0.188,1.099,13.8,0,Y,support,0
PC100629,2024-11-17,metro,basic,social,46.0,44,58.92,5,16,0,0.492,35.99,0.201,33.2,0.007,0.987,37.5,1,Y,support,1
PC100188,2023-09-09,rural,plus,paid_search,20.0,479,58.42,14,17,0,0.141,24.98,0.251,42.5,0.011,0.717,20.2,0,Y,support,0
PC101770,2024-07-16,metro,basic,organic,30.0,168,95.44,8,13,2,0.313,28.62,0.322,40.9,0.094,0.68,15.9,1,N,variety,1
PC100396,2024-11-26,metro,premium,organic,27.0,35,73.27,8,13,1,0.193,20.59,0.199,44.1,0.066,1.019,41.4,0,N,support,0
PC101745,2024-03-21,suburban,basic,referral,49.0,285,28.44,3,10,1,0.336,18.77,0.41,78.5,0.028,1.009,44.9,0,N,support,0
PC101346,2024-07-18,suburban,plus,referral,35.0,166,66.55,7,11,1,0.199,19.55,0.123,71.7,0.088,1.181,37.9,0,N,support,0
PC100956,2024-11-12,suburban,plus,referral,66.0,49,67.3,7,9,0,0.054,24.86,0.187,54.8,0.011,1.04,31.3,0,Y,support,0
PC101912,2024-08-12,rural,basic,organic,22.0,141,40.23,6,7,1,0.34,31.3,0.356,61.3,0.159,0.95,43.3,0,N,support,0
PC100204,2023-09-26,metro,basic,paid_search,31.0,462,48.89,8,10,2,0.226,13.63,0.33,100.0,0.066,1.008,18.1,0,N,support,0
PC101258,2024-06-28,suburban,basic,affiliate,45.0,186,64.27,7,13,1,0.063,11.08,0.271,38.8,0.251,1.005,27.2,0,N,support,1
PC100618,2023-12-17,suburban,premium,referral,18.0,380,68.43,8,11,1,0.213,35.13,0.197,30.7,0.042,0.844,45.4,0,N,support,0
PC101944,2023-04-30,rural,plus,social,38.0,611,124.4,5,12,1,0.334,30.08,0.29,47.4,0.062,1.035,48.7,0,N,support,1
PC102038 ,2024-05-28,suburban,plus,paid_search,78.0,217,56.56,7,13,0,0.279,22.75,0.035,95.6,0.143,1.203,30.3,1,N,late delivery,1
PC100846,2023-09-23,suburban,basic,organic,30.0,465,93.41,7,10,0,0.033,9.67,0.254,52.7,0.017,0.72,20.9,0,N,support,0
PC100776,2024-09-14,metro,basic,organic,27.0,108,55.51,7,9,0,0.151,26.79,0.192,66.9,0.129,1.042,60.9,0,N,support,0
PC101818,2023-12-31,metro,basic,social,59.0,366,56.94,5,7,0,0.151,9.69,0.136,5.2,0.106,1.155,34.7,0,Y,support,1
PC101670,2024-09-27,suburban,basic,social,36.0,95,48.45,14,19,0,0.115,24.67,0.299,68.9,0.063,1.008,10.8,1,N,support,1
