row_index,column_name,value,verdict,reason,action
27713,age,70.0,Likely Real,"age=70.00, IQR=[9.50,69.50], domain=[17,100]",flagged
27757,age,76.0,Likely Real,"age=76.00, IQR=[9.50,69.50], domain=[17,100]",flagged
27780,age,73.0,Likely Real,"age=73.00, IQR=[9.50,69.50], domain=[17,100]",flagged
27800,age,88.0,Likely Real,"age=88.00, IQR=[9.50,69.50], domain=[17,100]",flagged
27802,age,88.0,Likely Real,"age=88.00, IQR=[9.50,69.50], domain=[17,100]",flagged
27805,age,88.0,Likely Real,"age=88.00, IQR=[9.50,69.50], domain=[17,100]",flagged
27808,age,88.0,Likely Real,"age=88.00, IQR=[9.50,69.50], domain=[17,100]",flagged
27810,age,88.0,Likely Real,"age=88.00, IQR=[9.50,69.50], domain=[17,100]",flagged
27811,age,88.0,Likely Real,"age=88.00, IQR=[9.50,69.50], domain=[17,100]",flagged
27812,age,88.0,Likely Real,"age=88.00, IQR=[9.50,69.50], domain=[17,100]",flagged
27813,age,88.0,Likely Real,"age=88.00, IQR=[9.50,69.50], domain=[17,100]",flagged
27814,age,88.0,Likely Real,"age=88.00, IQR=[9.50,69.50], domain=[17,100]",flagged
27815,age,88.0,Likely Real,"age=88.00, IQR=[9.50,69.50], domain=[17,100]",flagged
27816,age,88.0,Likely Real,"age=88.00, IQR=[9.50,69.50], domain=[17,100]",flagged
27817,age,88.0,Likely Real,"age=88.00, IQR=[9.50,69.50], domain=[17,100]",flagged
27818,age,88.0,Likely Real,"age=88.00, IQR=[9.50,69.50], domain=[17,100]",flagged
27826,age,95.0,Likely Real,"age=95.00, IQR=[9.50,69.50], domain=[17,100]",flagged
27837,age,70.0,Likely Real,"age=70.00, IQR=[9.50,69.50], domain=[17,100]",flagged
27838,age,70.0,Likely Real,"age=70.00, IQR=[9.50,69.50], domain=[17,100]",flagged
27844,age,70.0,Likely Real,"age=70.00, IQR=[9.50,69.50], domain=[17,100]",flagged
27851,age,77.0,Likely Real,"age=77.00, IQR=[9.50,69.50], domain=[17,100]",flagged
27875,age,75.0,Likely Real,"age=75.00, IQR=[9.50,69.50], domain=[17,100]",flagged
27879,age,70.0,Likely Real,"age=70.00, IQR=[9.50,69.50], domain=[17,100]",flagged
27902,age,70.0,Likely Real,"age=70.00, IQR=[9.50,69.50], domain=[17,100]",flagged
27930,age,73.0,Likely Real,"age=73.00, IQR=[9.50,69.50], domain=[17,100]",flagged
27950,age,80.0,Likely Real,"age=80.00, IQR=[9.50,69.50], domain=[17,100]",flagged
27951,age,80.0,Likely Real,"age=80.00, IQR=[9.50,69.50], domain=[17,100]",flagged
27963,age,80.0,Likely Real,"age=80.00, IQR=[9.50,69.50], domain=[17,100]",flagged
28220,age,72.0,Likely Real,"age=72.00, IQR=[9.50,69.50], domain=[17,100]",flagged
28221,age,72.0,Likely Real,"age=72.00, IQR=[9.50,69.50], domain=[17,100]",flagged
28312,age,82.0,Likely Real,"age=82.00, IQR=[9.50,69.50], domain=[17,100]",flagged
28456,age,73.0,Likely Real,"age=73.00, IQR=[9.50,69.50], domain=[17,100]",flagged
28504,age,71.0,Likely Real,"age=71.00, IQR=[9.50,69.50], domain=[17,100]",flagged
28530,age,70.0,Likely Real,"age=70.00, IQR=[9.50,69.50], domain=[17,100]",flagged
28540,age,70.0,Likely Real,"age=70.00, IQR=[9.50,69.50], domain=[17,100]",flagged
28586,age,70.0,Likely Real,"age=70.00, IQR=[9.50,69.50], domain=[17,100]",flagged
28619,age,71.0,Likely Real,"age=71.00, IQR=[9.50,69.50], domain=[17,100]",flagged
28732,age,70.0,Likely Real,"age=70.00, IQR=[9.50,69.50], domain=[17,100]",flagged
28773,age,70.0,Likely Real,"age=70.00, IQR=[9.50,69.50], domain=[17,100]",flagged
29225,age,71.0,Likely Real,"age=71.00, IQR=[9.50,69.50], domain=[17,100]",flagged
29263,age,75.0,Likely Real,"age=75.00, IQR=[9.50,69.50], domain=[17,100]",flagged
29498,age,73.0,Likely Real,"age=73.00, IQR=[9.50,69.50], domain=[17,100]",flagged
29625,age,73.0,Likely Real,"age=73.00, IQR=[9.50,69.50], domain=[17,100]",flagged
29668,age,71.0,Likely Real,"age=71.00, IQR=[9.50,69.50], domain=[17,100]",flagged
29682,age,75.0,Likely Real,"age=75.00, IQR=[9.50,69.50], domain=[17,100]",flagged
29973,age,75.0,Likely Real,"age=75.00, IQR=[9.50,69.50], domain=[17,100]",flagged
29977,age,78.0,Likely Real,"age=78.00, IQR=[9.50,69.50], domain=[17,100]",flagged
29981,age,75.0,Likely Real,"age=75.00, IQR=[9.50,69.50], domain=[17,100]",flagged
29987,age,70.0,Likely Real,"age=70.00, IQR=[9.50,69.50], domain=[17,100]",flagged
29990,age,78.0,Likely Real,"age=78.00, IQR=[9.50,69.50], domain=[17,100]",flagged
30000,age,75.0,Likely Real,"age=75.00, IQR=[9.50,69.50], domain=[17,100]",flagged
30004,age,78.0,Likely Real,"age=78.00, IQR=[9.50,69.50], domain=[17,100]",flagged
30006,age,85.0,Likely Real,"age=85.00, IQR=[9.50,69.50], domain=[17,100]",flagged
30072,age,85.0,Likely Real,"age=85.00, IQR=[9.50,69.50], domain=[17,100]",flagged
30078,age,85.0,Likely Real,"age=85.00, IQR=[9.50,69.50], domain=[17,100]",flagged
30079,age,80.0,Likely Real,"age=80.00, IQR=[9.50,69.50], domain=[17,100]",flagged
30088,age,71.0,Likely Real,"age=71.00, IQR=[9.50,69.50], domain=[17,100]",flagged
30103,age,85.0,Likely Real,"age=85.00, IQR=[9.50,69.50], domain=[17,100]",flagged
30110,age,85.0,Likely Real,"age=85.00, IQR=[9.50,69.50], domain=[17,100]",flagged
30133,age,79.0,Likely Real,"age=79.00, IQR=[9.50,69.50], domain=[17,100]",flagged
30171,age,77.0,Likely Real,"age=77.00, IQR=[9.50,69.50], domain=[17,100]",flagged
30214,age,83.0,Likely Real,"age=83.00, IQR=[9.50,69.50], domain=[17,100]",flagged
30225,age,81.0,Likely Real,"age=81.00, IQR=[9.50,69.50], domain=[17,100]",flagged
30227,age,71.0,Likely Real,"age=71.00, IQR=[9.50,69.50], domain=[17,100]",flagged
30241,age,81.0,Likely Real,"age=81.00, IQR=[9.50,69.50], domain=[17,100]",flagged
30334,age,73.0,Likely Real,"age=73.00, IQR=[9.50,69.50], domain=[17,100]",flagged
30335,age,71.0,Likely Real,"age=71.00, IQR=[9.50,69.50], domain=[17,100]",flagged
30390,age,71.0,Likely Real,"age=71.00, IQR=[9.50,69.50], domain=[17,100]",flagged
30430,age,88.0,Likely Real,"age=88.00, IQR=[9.50,69.50], domain=[17,100]",flagged
30460,age,81.0,Likely Real,"age=81.00, IQR=[9.50,69.50], domain=[17,100]",flagged
30589,age,81.0,Likely Real,"age=81.00, IQR=[9.50,69.50], domain=[17,100]",flagged
35833,age,81.0,Likely Real,"age=81.00, IQR=[9.50,69.50], domain=[17,100]",flagged
35848,age,71.0,Likely Real,"age=71.00, IQR=[9.50,69.50], domain=[17,100]",flagged
35856,age,83.0,Likely Real,"age=83.00, IQR=[9.50,69.50], domain=[17,100]",flagged
35878,age,75.0,Likely Real,"age=75.00, IQR=[9.50,69.50], domain=[17,100]",flagged
35973,age,78.0,Likely Real,"age=78.00, IQR=[9.50,69.50], domain=[17,100]",flagged
36183,age,88.0,Likely Real,"age=88.00, IQR=[9.50,69.50], domain=[17,100]",flagged
36285,age,77.0,Likely Real,"age=77.00, IQR=[9.50,69.50], domain=[17,100]",flagged
36311,age,72.0,Likely Real,"age=72.00, IQR=[9.50,69.50], domain=[17,100]",flagged
36383,age,79.0,Likely Real,"age=79.00, IQR=[9.50,69.50], domain=[17,100]",flagged
36384,age,79.0,Likely Real,"age=79.00, IQR=[9.50,69.50], domain=[17,100]",flagged
36816,age,74.0,Likely Real,"age=74.00, IQR=[9.50,69.50], domain=[17,100]",flagged
36998,age,75.0,Likely Real,"age=75.00, IQR=[9.50,69.50], domain=[17,100]",flagged
37136,age,72.0,Likely Real,"age=72.00, IQR=[9.50,69.50], domain=[17,100]",flagged
