row_index,column_name,value,verdict,reason,action
3,composite,,Likely Real,robust z-score > 6,flagged
4,composite,,Likely Real,robust z-score > 6,flagged
5,composite,,Likely Real,robust z-score > 6,flagged
6,composite,,Likely Real,robust z-score > 6,flagged
10,composite,,Likely Real,robust z-score > 6,flagged
30,composite,,Likely Real,robust z-score > 6,flagged
54,composite,,Likely Real,robust z-score > 6,flagged
55,composite,,Likely Real,robust z-score > 6,flagged
56,composite,,Likely Real,robust z-score > 6,flagged
57,composite,,Likely Real,robust z-score > 6,flagged
58,composite,,Likely Real,robust z-score > 6,flagged
59,composite,,Likely Real,robust z-score > 6,flagged
60,composite,,Likely Real,robust z-score > 6,flagged
61,composite,,Likely Real,robust z-score > 6,flagged
62,composite,,Likely Real,robust z-score > 6,flagged
63,composite,,Likely Real,robust z-score > 6,flagged
64,composite,,Likely Real,robust z-score > 6,flagged
65,composite,,Likely Real,robust z-score > 6,flagged
66,composite,,Likely Real,robust z-score > 6,flagged
67,composite,,Likely Real,robust z-score > 6,flagged
68,composite,,Likely Real,robust z-score > 6,flagged
69,composite,,Likely Real,robust z-score > 6,flagged
70,composite,,Likely Real,robust z-score > 6,flagged
77,composite,,Likely Real,robust z-score > 6,flagged
78,composite,,Likely Real,robust z-score > 6,flagged
83,composite,,Likely Real,robust z-score > 6,flagged
85,composite,,Likely Real,robust z-score > 6,flagged
89,composite,,Likely Real,robust z-score > 6,flagged
94,composite,,Likely Real,robust z-score > 6,flagged
95,composite,,Likely Real,robust z-score > 6,flagged
105,composite,,Likely Real,robust z-score > 6,flagged
115,composite,,Likely Real,robust z-score > 6,flagged
121,composite,,Likely Real,robust z-score > 6,flagged
122,composite,,Likely Real,robust z-score > 6,flagged
126,composite,,Likely Real,robust z-score > 6,flagged
129,composite,,Likely Real,robust z-score > 6,flagged
134,composite,,Likely Real,robust z-score > 6,flagged
137,composite,,Likely Real,robust z-score > 6,flagged
141,composite,,Likely Real,robust z-score > 6,flagged
142,composite,,Likely Real,robust z-score > 6,flagged
144,composite,,Likely Real,robust z-score > 6,flagged
146,composite,,Likely Real,robust z-score > 6,flagged
147,composite,,Likely Real,robust z-score > 6,flagged
154,composite,,Likely Real,robust z-score > 6,flagged
156,composite,,Likely Real,robust z-score > 6,flagged
164,composite,,Likely Real,robust z-score > 6,flagged
165,composite,,Likely Real,robust z-score > 6,flagged
173,composite,,Likely Real,robust z-score > 6,flagged
174,composite,,Likely Real,robust z-score > 6,flagged
175,composite,,Likely Real,robust z-score > 6,flagged
176,composite,,Likely Real,robust z-score > 6,flagged
177,composite,,Likely Real,robust z-score > 6,flagged
185,composite,,Likely Real,robust z-score > 6,flagged
194,composite,,Likely Real,robust z-score > 6,flagged
210,composite,,Likely Real,robust z-score > 6,flagged
211,composite,,Likely Real,robust z-score > 6,flagged
217,composite,,Likely Real,robust z-score > 6,flagged
223,composite,,Likely Real,robust z-score > 6,flagged
224,composite,,Likely Real,robust z-score > 6,flagged
225,composite,,Likely Real,robust z-score > 6,flagged
226,composite,,Likely Real,robust z-score > 6,flagged
227,composite,,Likely Real,robust z-score > 6,flagged
228,composite,,Likely Real,robust z-score > 6,flagged
229,composite,,Likely Real,robust z-score > 6,flagged
231,composite,,Likely Real,robust z-score > 6,flagged
246,composite,,Likely Real,robust z-score > 6,flagged
