invoice_month,revenue,invoices,transactions
2009-12,825685.76,1682,43957
2010-01,652708.502,1105,30638
2010-02,553713.306,1202,28282
2010-03,833570.131,1681,40364
2010-04,681531.092,1463,33269
2010-05,659858.86,1500,33795
2010-06,752270.14,1645,38900
2010-07,650715.04,1530,32504
2010-08,697274.91,1425,32473
2010-09,924333.0109999999,1839,41109
2010-10,1165486.01,2302,57798
2010-11,1470272.482,2747,76464
2010-12,1262598.79,1559,63496
2011-01,691364.56,1086,34306
2011-02,523631.89,1100,27105
2011-03,717639.36,1454,35803
2011-04,537808.621,1246,29096
2011-05,770536.02,1681,36164
2011-06,761739.9,1533,35977
2011-07,719221.191,1475,38645
2011-08,759142.58,1363,34485
2011-09,1058590.172,1837,49261
2011-10,1154979.3,2040,59304
2011-11,1509496.33,2769,83369
2011-12,638810.68,819,25112
