StockCode,product_month,monthly_quantity,monthly_revenue,monthly_invoices,monthly_customers,avg_price,grain
10002,2009-12,216,186.14999999999998,20,17,0.9714285714285713,product_month
10002,2010-01,291,248.97,17,16,0.9452941176470588,product_month
10002,2010-02,257,220.07,15,13,0.958,product_month
10002,2010-03,642,493.94,17,16,0.9078947368421053,product_month
10002,2010-04,1132,843.73,24,21,0.9241666666666667,product_month
10002,2010-05,1465,1157.49,33,26,0.9538235294117647,product_month
10002,2010-06,463,404.2,37,30,0.9997297297297297,product_month
10002,2010-07,512,416.49,25,22,0.9696153846153847,product_month
10002,2010-08,586,450.15,23,19,1.0147826086956522,product_month
10002,2010-09,242,215.42,20,17,0.9604545454545454,product_month
10002,2010-10,1046,794.8199999999999,23,22,0.8729166666666667,product_month
10002,2010-11,964,755.1899999999999,37,34,0.9264102564102563,product_month
10002,2010-12,411,385.79999999999995,30,16,1.197142857142857,product_month
10002,2011-01,340,291.37,21,19,0.9628571428571429,product_month
10002,2011-02,52,45.76,7,6,1.0728571428571427,product_month
10002,2011-03,28,27.7,8,6,1.1425,product_month
10002,2011-04,189,160.65,5,5,0.85,product_month
10002R,2009-12,3,15.51,2,1,5.17,product_month
10002R,2010-01,1,5.06,1,1,5.06,product_month
10080,2009-12,4,3.4,2,2,0.85,product_month
10080,2010-07,1,0.85,1,1,0.85,product_month
10080,2010-09,6,5.1,1,1,0.85,product_month
10080,2010-11,1,0.85,1,1,0.85,product_month
10080,2011-02,2,1.7,1,1,0.85,product_month
10080,2011-06,60,23.4,2,2,0.39,product_month
10080,2011-07,24,9.36,2,2,0.39,product_month
10080,2011-08,60,23.4,4,4,0.39,product_month
10080,2011-09,60,23.4,4,4,0.39,product_month
10080,2011-10,6,2.34,3,3,0.38999999999999996,product_month
10080,2011-11,91,35.489999999999995,6,6,0.38999999999999996,product_month
10109,2009-12,4,1.68,1,1,0.42,product_month
10120,2009-12,115,26.13,12,6,0.3383333333333333,product_month
10120,2010-01,32,6.9399999999999995,3,2,0.2833333333333333,product_month
10120,2010-02,5,2.15,2,1,0.43,product_month
10120,2010-03,68,14.28,4,4,0.21,product_month
10120,2010-04,60,12.6,2,2,0.21,product_month
10120,2010-05,4,0.84,1,1,0.21,product_month
10120,2010-06,30,6.3,1,1,0.21,product_month
10120,2010-07,3,0.63,1,1,0.21,product_month
10120,2010-09,9,1.8900000000000001,2,2,0.21,product_month
10120,2010-10,71,14.91,4,4,0.21,product_month
10120,2010-11,75,15.75,12,12,0.21,product_month
10120,2010-12,31,6.51,4,4,0.21,product_month
10120,2011-02,30,6.3,1,1,0.21,product_month
10120,2011-03,29,6.09,4,4,0.21000000000000002,product_month
10120,2011-05,3,0.63,2,2,0.21,product_month
10120,2011-07,5,1.05,1,1,0.21,product_month
10120,2011-08,35,7.35,2,2,0.21,product_month
10120,2011-09,10,2.1,4,4,0.21,product_month
10120,2011-10,10,2.1,2,2,0.21,product_month
10120,2011-11,49,10.29,8,8,0.21,product_month
10120,2011-12,6,1.26,1,1,0.21,product_month
10123C,2009-12,144,85.98,13,10,0.8153333333333334,product_month
10123C,2010-01,30,22.650000000000002,6,4,0.965,product_month
10123C,2010-02,13,8.450000000000001,2,2,0.65,product_month
10123C,2010-03,18,14.219999999999999,5,3,1.028,product_month
10123C,2010-04,16,11.66,4,3,0.965,product_month
10123C,2010-05,51,34.410000000000004,6,5,0.86,product_month
10123C,2010-06,2,1.9300000000000002,2,2,0.9650000000000001,product_month
10123C,2010-07,3,1.9500000000000002,3,3,0.65,product_month
10123C,2010-08,164,22.270000000000003,5,5,0.658,product_month
10123C,2010-09,180,32.040000000000006,4,4,0.5025000000000001,product_month
10123C,2010-10,5,3.25,4,4,0.65,product_month
10123C,2010-11,22,14.3,6,6,0.65,product_month
10123C,2010-12,2,1.3,1,1,0.65,product_month
10123C,2011-03,4,2.6,2,2,0.65,product_month
10123G,2009-12,2,3.4,1,1,1.7,product_month
10123G,2010-07,18,11.700000000000001,3,3,0.65,product_month
10123G,2010-08,1104,66.24,1,1,0.06,product_month
10123G,2010-09,1104,66.24,1,1,0.06,product_month
10123G,2010-10,2,1.3,2,2,0.65,product_month
10123G,2010-11,21,16.68,8,6,1.02875,product_month
10124A,2010-03,3,1.26,1,1,0.42,product_month
10124A,2010-04,1,0.42,1,1,0.42,product_month
10124A,2010-06,3,1.26,1,1,0.42,product_month
10124A,2010-07,2,0.84,1,1,0.42,product_month
10124A,2010-08,5,2.1,1,1,0.42,product_month
10124A,2010-09,21,8.82,4,4,0.42,product_month
10124A,2010-10,4,1.68,2,2,0.42,product_month
10124A,2010-11,3,1.26,2,2,0.42,product_month
10124A,2010-12,8,3.36,1,1,0.42,product_month
10124A,2011-02,3,1.26,1,1,0.42,product_month
10124A,2011-03,5,2.1,2,2,0.42,product_month
10124A,2011-11,4,1.68,1,1,0.42,product_month
10124G,2010-05,2,1.26,2,2,0.63,product_month
10124G,2010-06,3,1.26,1,1,0.42,product_month
10124G,2010-08,5,2.1,1,1,0.42,product_month
10124G,2010-09,4,1.68,1,1,0.42,product_month
10124G,2010-10,2,0.84,1,1,0.42,product_month
10124G,2010-12,10,4.2,1,1,0.42,product_month
10124G,2011-03,4,1.68,1,1,0.42,product_month
10124G,2011-09,4,1.68,1,1,0.42,product_month
10124G,2011-11,4,1.68,1,1,0.42,product_month
10125,2009-12,128,112.2,15,14,0.95,product_month
10125,2010-01,3,4.9799999999999995,2,1,1.66,product_month
10125,2010-02,45,40.68,6,4,1.255,product_month
10125,2010-03,110,112.94,7,6,1.0814285714285714,product_month
10125,2010-04,20,17.0,1,1,0.85,product_month
10125,2010-05,20,17.0,1,1,0.85,product_month
10125,2010-06,64,55.21,7,7,0.9657142857142856,product_month
10125,2010-07,105,89.25,6,6,0.85,product_month
10125,2010-09,65,55.25,5,5,0.85,product_month
10125,2010-10,121,104.47,14,12,0.9452941176470588,product_month
10125,2010-11,129,114.51,12,9,1.1199999999999999,product_month
10125,2010-12,199,130.73,11,8,0.969375,product_month
10125,2011-01,213,109.65,28,8,0.7039285714285715,product_month
10125,2011-03,114,98.46,11,10,0.98,product_month
10125,2011-04,82,69.7,6,6,0.85,product_month
10125,2011-05,107,90.95,6,6,0.85,product_month
10125,2011-06,15,14.309999999999999,3,3,1.11,product_month
10125,2011-07,177,151.23000000000002,9,9,0.9209090909090908,product_month
10125,2011-08,85,72.25,4,4,0.85,product_month
10125,2011-09,210,178.5,4,4,0.85,product_month
10125,2011-10,51,44.129999999999995,5,5,1.0059999999999998,product_month
10125,2011-11,62,52.7,2,2,0.85,product_month
10125,2011-12,26,22.1,2,2,0.85,product_month
10133,2009-12,154,131.75,16,14,0.903125,product_month
10133,2010-01,162,119.01,4,4,1.02,product_month
10133,2010-02,102,91.56,7,7,0.9657142857142856,product_month
10133,2010-03,41,39.71,9,8,1.03,product_month
10133,2010-04,45,36.949999999999996,6,6,0.8283333333333333,product_month
10133,2010-05,86,76.66,7,7,0.9471428571428572,product_month
10133,2010-06,30,25.5,2,2,0.85,product_month
10133,2010-07,72,61.2,6,6,0.85,product_month
10133,2010-08,65,55.25,7,7,0.85,product_month
10133,2010-09,47,43.19,6,5,1.1199999999999999,product_month
