antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
PINK REGENCY TEACUP AND SAUCER,"GREEN REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER",0.03017355688481598,0.030144090520670654,0.021392580369508207,0.708984375,23.519846270161292,1.0,0.020483025939441707,3.332659232573266,0.9872722300942153,0.5495836487509463,0.6999393186599927,0.7093308971774194
"GREEN REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER",PINK REGENCY TEACUP AND SAUCER,0.030144090520670654,0.03017355688481598,0.021392580369508207,0.7096774193548387,23.519846270161292,1.0,0.020483025939441707,3.3405133040634123,0.9872422345837912,0.5495836487509463,0.7006448084539593,0.7093308971774194
"PINK REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER",GREEN REGENCY TEACUP AND SAUCER,0.0236909567728438,0.039484927954739665,0.021392580369508207,0.9029850746268657,22.86910781911339,1.0,0.020457144648153618,9.900693819543458,0.9794776524266212,0.5119887165021156,0.8989969775627187,0.7223880597014926
GREEN REGENCY TEACUP AND SAUCER,"PINK REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER",0.039484927954739665,0.0236909567728438,0.021392580369508207,0.5417910447761194,22.86910781911339,1.0,0.020457144648153618,2.1307070324501454,0.9955834296975562,0.5119887165021156,0.5306722206430798,0.7223880597014926
PINK REGENCY TEACUP AND SAUCER,GREEN REGENCY TEACUP AND SAUCER,0.03017355688481598,0.039484927954739665,0.025164274980110205,0.8339843750000001,21.121587861473884,1.0,0.023972874260375008,5.785690786907925,0.9822943903418359,0.5655629139072849,0.8271597918328375,0.7356489039179105
GREEN REGENCY TEACUP AND SAUCER,PINK REGENCY TEACUP AND SAUCER,0.039484927954739665,0.03017355688481598,0.025164274980110205,0.6373134328358209,21.12158786147388,1.0,0.023972874260375008,2.674007065379314,0.9918168932515521,0.5655629139072849,0.6260294099641253,0.7356489039179105
"GREEN REGENCY TEACUP AND SAUCER, PINK REGENCY TEACUP AND SAUCER",ROSES REGENCY TEACUP AND SAUCER,0.025164274980110205,0.04154757344491263,0.021392580369508207,0.8501170960187353,20.461293537296328,1.0,0.0203470658065841,6.394674783422221,0.9756795018189911,0.4720416124837451,0.8436198815626348,0.6825053565200059
ROSES REGENCY TEACUP AND SAUCER,"GREEN REGENCY TEACUP AND SAUCER, PINK REGENCY TEACUP AND SAUCER",0.04154757344491263,0.025164274980110205,0.021392580369508207,0.5148936170212766,20.461293537296324,1.0,0.0203470658065841,2.009529784032229,0.9923572711494354,0.4720416124837451,0.5023711477450976,0.6825053565200059
ROSES REGENCY TEACUP AND SAUCER,PINK REGENCY TEACUP AND SAUCER,0.04154757344491263,0.03017355688481598,0.0236909567728438,0.5702127659574469,18.897764295212767,1.0,0.022437318702077658,2.2565268725947356,0.9881384420474564,0.4932515337423313,0.5568410852337337,0.6776845079787235
PINK REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER,0.03017355688481598,0.04154757344491263,0.0236909567728438,0.78515625,18.897764295212767,1.0,0.022437318702077658,4.461160385420043,0.9765496644024431,0.4932515337423313,0.7758430736388231,0.6776845079787235
