prediction,actual
90865.64929672434,570380.61
84839.90361723093,523119.53
104041.87518880593,296037.44
258164.19007130642,265757.91
36962.369894325995,231667.87
94876.588297236,190020.84
43883.37244506163,168491.62
17738.601592019368,143269.29
38257.8388264505,141502.25
81506.4057603062,124961.98
141832.95819252243,111649.68
133587.52951858725,109692.99
85312.92387082147,97338.89
75897.83067567911,91303.87
39789.110503475094,90489.31
32881.38208793223,84177.58
71721.60113942188,72587.51
25452.7914955738,71975.01
43856.44066132885,71128.77
121345.16128318594,65840.2
9622.79215244833,62400.02
86103.23381060427,59493.94
-1930.8076537528368,56946.43
16168.416890005672,55961.37
44762.62328062839,54577.68
23395.848305245658,54558.18
48247.20834110352,53274.33
45085.49990438614,52913.42
82901.4032305055,50463.12
56625.299522112175,49770.92
78383.74534154085,49404.702
43149.05596577968,49208.51
18241.40427177061,46006.82
190563.88874617132,45884.9
30290.870833077464,44392.5
33691.71332442477,42653.141
51320.25120664649,38420.83
70584.60865171358,37925.01
48225.30247290606,37064.32
25963.11395400657,36395.47
28745.105614875476,35957.66
51111.81280442715,34232.18
54052.304465297035,33984.75
14738.538710343899,33851.13
21013.945916732224,33565.52
53321.93385505074,33480.82
32034.828414019234,32368.5
29731.802741887303,31658.01
19098.716943212636,31027.35
27184.428056553927,30885.06
7702.563170609292,30411.26
26370.167280867387,29518.24
30632.309208807084,29511.03
126994.50600692384,28924.67
22323.6577430478,28658.88
51964.2949033931,28369.44
19022.469198876333,27231.34
16639.80080063823,26873.62
17101.81387579885,26626.8
8535.822598188262,26278.86
21751.433914885434,25950.95
10560.431586709445,25673.21
12202.673024467902,25491.56
31656.803709005962,25451.09
100501.27918728684,25434.8
15427.498181562463,25356.83
15280.306542971224,25264.8
23753.539348174803,24487.13
22319.468006879157,24114.7
16731.489270196154,23661.16
16450.49202491411,23283.35
25436.467412022135,23166.74
27717.26485951763,23092.34
8785.975084482194,23090.47
31206.517393808772,22919.4
26266.084051798945,22862.12
43789.28515578811,22228.88
17934.92203447285,22107.29
8285.829118878553,22100.56
18852.638160463266,22049.4
21546.314649242417,21893.53
6451.27999051546,21535.9
23191.72236727309,21460.58
27400.423945495753,21282.07
7540.403746544704,21024.01
40957.977873355456,20974.96
13356.817823758518,20554.09
28655.766151394837,20416.03
3185.5136987767514,20173.64
19145.473361160293,20095.6
29877.194850233278,19921.6
12625.16839403107,19687.0
41872.08256821325,19646.48
20980.393509889058,19528.78
12628.040295604713,19473.91
21060.625938470523,19063.47
13854.494582581567,18833.63
26673.235359813134,18442.87
16167.340863151972,18299.06
1088.4781571772517,18287.66
8309.275869610316,18096.14
21917.072855377923,17984.49
26639.745911989965,17500.18
24186.293464214483,17347.25
12845.160182759097,17312.83
34751.305276736915,17289.23
11449.534101400093,17221.47
33138.1174437165,17101.37
33424.25785720885,17101.13
10719.731831349947,17016.29
45441.19790148777,16907.55
9400.142389139119,16864.39
16727.84217134142,16800.0
23736.692914237145,16713.99
12401.957781040794,16707.98
4601.400279699253,16641.74
18320.765423770106,16503.46
21888.758200166994,16500.12
12520.753261334397,16328.9
26981.58966985689,16307.72
22405.75143296137,16293.1
31580.087514363644,16230.7
27060.953163011032,16213.65
7579.065819459229,16170.27
12257.128389722782,16152.97
21063.77818200404,16124.33
42215.42292873867,15936.3
18007.654982021202,15909.39
12700.252321689839,15671.32
3422.876938933913,15455.02
16383.401756672356,15447.69
12435.955702109022,15391.0
22534.75243714747,15245.31
