PROVINCE,REGION,SECTOR,TSIC-2_dg,TSIC-2dg_details,TSIC-5dg,TSIC-5dg_details,BUSINESS_SIZE,NUMBER_of_MSME,DATA_SOURCE,YEAR,is_return,is_cancellation,is_outlier,revenue
Bangkok,Bangkok Metropolitan,A,10,Agriculture and food processing,1055,Agriculture and food processing - micro establishments,Micro,908,SYNTHETIC SAMPLE - generated from Scout metadata,2018,0,0,0,0.0
Bangkok,Bangkok Metropolitan,A,10,Agriculture and food processing,1055,Agriculture and food processing - small establishments,Small,213,SYNTHETIC SAMPLE - generated from Scout metadata,2018,0,0,0,0.0
Bangkok,Bangkok Metropolitan,A,10,Agriculture and food processing,1066,Agriculture and food processing - medium establishments,Medium,43,SYNTHETIC SAMPLE - generated from Scout metadata,2018,0,0,0,0.0
Bangkok,Bangkok Metropolitan,C,20,Manufacturing,2055,Manufacturing - micro establishments,Micro,1191,SYNTHETIC SAMPLE - generated from Scout metadata,2018,0,0,0,0.0
Bangkok,Bangkok Metropolitan,C,20,Manufacturing,2055,Manufacturing - small establishments,Small,239,SYNTHETIC SAMPLE - generated from Scout metadata,2018,0,0,0,0.0
Bangkok,Bangkok Metropolitan,C,20,Manufacturing,2066,Manufacturing - medium establishments,Medium,60,SYNTHETIC SAMPLE - generated from Scout metadata,2018,0,0,0,0.0
Bangkok,Bangkok Metropolitan,G,30,Wholesale and retail trade,3055,Wholesale and retail trade - micro establishments,Micro,1138,SYNTHETIC SAMPLE - generated from Scout metadata,2018,0,0,0,0.0
Bangkok,Bangkok Metropolitan,G,30,Wholesale and retail trade,3055,Wholesale and retail trade - small establishments,Small,296,SYNTHETIC SAMPLE - generated from Scout metadata,2018,0,0,0,0.0
Bangkok,Bangkok Metropolitan,G,30,Wholesale and retail trade,3066,Wholesale and retail trade - medium establishments,Medium,72,SYNTHETIC SAMPLE - generated from Scout metadata,2018,0,0,0,0.0
Bangkok,Bangkok Metropolitan,I,40,Accommodation and food service,4055,Accommodation and food service - micro establishments,Micro,1062,SYNTHETIC SAMPLE - generated from Scout metadata,2018,0,0,0,0.0
Bangkok,Bangkok Metropolitan,I,40,Accommodation and food service,4055,Accommodation and food service - small establishments,Small,233,SYNTHETIC SAMPLE - generated from Scout metadata,2018,0,0,0,0.0
Bangkok,Bangkok Metropolitan,I,40,Accommodation and food service,4066,Accommodation and food service - medium establishments,Medium,60,SYNTHETIC SAMPLE - generated from Scout metadata,2018,0,0,0,0.0
Bangkok,Bangkok Metropolitan,J,50,Information and communication,5055,Information and communication - micro establishments,Micro,482,SYNTHETIC SAMPLE - generated from Scout metadata,2018,0,0,0,0.0
Bangkok,Bangkok Metropolitan,J,50,Information and communication,5055,Information and communication - small establishments,Small,103,SYNTHETIC SAMPLE - generated from Scout metadata,2018,0,0,0,0.0
Bangkok,Bangkok Metropolitan,J,50,Information and communication,5066,Information and communication - medium establishments,Medium,25,SYNTHETIC SAMPLE - generated from Scout metadata,2018,0,0,0,0.0
Bangkok,Bangkok Metropolitan,M,60,Professional and technical services,6055,Professional and technical services - micro establishments,Micro,657,SYNTHETIC SAMPLE - generated from Scout metadata,2018,0,0,0,0.0
Bangkok,Bangkok Metropolitan,M,60,Professional and technical services,6055,Professional and technical services - small establishments,Small,121,SYNTHETIC SAMPLE - generated from Scout metadata,2018,0,0,0,0.0
Bangkok,Bangkok Metropolitan,M,60,Professional and technical services,6066,Professional and technical services - medium establishments,Medium,33,SYNTHETIC SAMPLE - generated from Scout metadata,2018,0,0,0,0.0
Nonthaburi,Central,A,10,Agriculture and food processing,1055,Agriculture and food processing - micro establishments,Micro,250,SYNTHETIC SAMPLE - generated from Scout metadata,2018,0,0,0,0.0
Nonthaburi,Central,A,10,Agriculture and food processing,1055,Agriculture and food processing - small establishments,Small,59,SYNTHETIC SAMPLE - generated from Scout metadata,2018,0,0,0,0.0
Nonthaburi,Central,A,10,Agriculture and food processing,1066,Agriculture and food processing - medium establishments,Medium,13,SYNTHETIC SAMPLE - generated from Scout metadata,2018,0,0,0,0.0
Nonthaburi,Central,C,20,Manufacturing,2055,Manufacturing - micro establishments,Micro,313,SYNTHETIC SAMPLE - generated from Scout metadata,2018,0,0,0,0.0
Nonthaburi,Central,C,20,Manufacturing,2055,Manufacturing - small establishments,Small,73,SYNTHETIC SAMPLE - generated from Scout metadata,2018,0,0,0,0.0
Nonthaburi,Central,C,20,Manufacturing,2066,Manufacturing - medium establishments,Medium,15,SYNTHETIC SAMPLE - generated from Scout metadata,2018,0,0,0,0.0
Nonthaburi,Central,G,30,Wholesale and retail trade,3055,Wholesale and retail trade - micro establishments,Micro,390,SYNTHETIC SAMPLE - generated from Scout metadata,2018,0,0,0,0.0
Nonthaburi,Central,G,30,Wholesale and retail trade,3055,Wholesale and retail trade - small establishments,Small,76,SYNTHETIC SAMPLE - generated from Scout metadata,2018,0,0,0,0.0
Nonthaburi,Central,G,30,Wholesale and retail trade,3066,Wholesale and retail trade - medium establishments,Medium,17,SYNTHETIC SAMPLE - generated from Scout metadata,2018,0,0,0,0.0
Nonthaburi,Central,I,40,Accommodation and food service,4055,Accommodation and food service - micro establishments,Micro,317,SYNTHETIC SAMPLE - generated from Scout metadata,2018,0,0,0,0.0
Nonthaburi,Central,I,40,Accommodation and food service,4055,Accommodation and food service - small establishments,Small,66,SYNTHETIC SAMPLE - generated from Scout metadata,2018,0,0,0,0.0
Nonthaburi,Central,I,40,Accommodation and food service,4066,Accommodation and food service - medium establishments,Medium,16,SYNTHETIC SAMPLE - generated from Scout metadata,2018,0,0,0,0.0
Nonthaburi,Central,J,50,Information and communication,5055,Information and communication - micro establishments,Micro,126,SYNTHETIC SAMPLE - generated from Scout metadata,2018,0,0,0,0.0
Nonthaburi,Central,J,50,Information and communication,5055,Information and communication - small establishments,Small,33,SYNTHETIC SAMPLE - generated from Scout metadata,2018,0,0,0,0.0
Nonthaburi,Central,J,50,Information and communication,5066,Information and communication - medium establishments,Medium,6,SYNTHETIC SAMPLE - generated from Scout metadata,2018,0,0,0,0.0
Nonthaburi,Central,M,60,Professional and technical services,6055,Professional and technical services - micro establishments,Micro,167,SYNTHETIC SAMPLE - generated from Scout metadata,2018,0,0,0,0.0
