PROVINCE,REGION,SECTOR,TSIC-2 dg,TSIC-2dg_details,TSIC-5dg,TSIC-5dg_details,BUSINESS SIZE,NUMBER of MSME,DATA SOURCE,YEAR
Bangkok,Bangkok Metropolitan,A,10,Agriculture and food processing,01055,Agriculture and food processing - micro establishments,Micro,908,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Bangkok,Bangkok Metropolitan,A,10,Agriculture and food processing,01055,Agriculture and food processing - small establishments,Small,213,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Bangkok,Bangkok Metropolitan,A,10,Agriculture and food processing,01066,Agriculture and food processing - medium establishments,Medium,43,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Bangkok,Bangkok Metropolitan,C,20,Manufacturing,02055,Manufacturing - micro establishments,Micro,1191,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Bangkok,Bangkok Metropolitan,C,20,Manufacturing,02055,Manufacturing - small establishments,Small,239,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Bangkok,Bangkok Metropolitan,C,20,Manufacturing,02066,Manufacturing - medium establishments,Medium,60,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Bangkok,Bangkok Metropolitan,G,30,Wholesale and retail trade,03055,Wholesale and retail trade - micro establishments,Micro,1138,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Bangkok,Bangkok Metropolitan,G,30,Wholesale and retail trade,03055,Wholesale and retail trade - small establishments,Small,296,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Bangkok,Bangkok Metropolitan,G,30,Wholesale and retail trade,03066,Wholesale and retail trade - medium establishments,Medium,72,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Bangkok,Bangkok Metropolitan,I,40,Accommodation and food service,04055,Accommodation and food service - micro establishments,Micro,1062,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Bangkok,Bangkok Metropolitan,I,40,Accommodation and food service,04055,Accommodation and food service - small establishments,Small,233,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Bangkok,Bangkok Metropolitan,I,40,Accommodation and food service,04066,Accommodation and food service - medium establishments,Medium,60,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Bangkok,Bangkok Metropolitan,J,50,Information and communication,05055,Information and communication - micro establishments,Micro,482,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Bangkok,Bangkok Metropolitan,J,50,Information and communication,05055,Information and communication - small establishments,Small,103,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Bangkok,Bangkok Metropolitan,J,50,Information and communication,05066,Information and communication - medium establishments,Medium,25,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Bangkok,Bangkok Metropolitan,M,60,Professional and technical services,06055,Professional and technical services - micro establishments,Micro,657,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Bangkok,Bangkok Metropolitan,M,60,Professional and technical services,06055,Professional and technical services - small establishments,Small,121,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Bangkok,Bangkok Metropolitan,M,60,Professional and technical services,06066,Professional and technical services - medium establishments,Medium,33,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Nonthaburi,Central,A,10,Agriculture and food processing,01055,Agriculture and food processing - micro establishments,Micro,250,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Nonthaburi,Central,A,10,Agriculture and food processing,01055,Agriculture and food processing - small establishments,Small,59,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Nonthaburi,Central,A,10,Agriculture and food processing,01066,Agriculture and food processing - medium establishments,Medium,13,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Nonthaburi,Central,C,20,Manufacturing,02055,Manufacturing - micro establishments,Micro,313,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Nonthaburi,Central,C,20,Manufacturing,02055,Manufacturing - small establishments,Small,73,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Nonthaburi,Central,C,20,Manufacturing,02066,Manufacturing - medium establishments,Medium,15,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Nonthaburi,Central,G,30,Wholesale and retail trade,03055,Wholesale and retail trade - micro establishments,Micro,390,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Nonthaburi,Central,G,30,Wholesale and retail trade,03055,Wholesale and retail trade - small establishments,Small,76,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Nonthaburi,Central,G,30,Wholesale and retail trade,03066,Wholesale and retail trade - medium establishments,Medium,17,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Nonthaburi,Central,I,40,Accommodation and food service,04055,Accommodation and food service - micro establishments,Micro,317,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Nonthaburi,Central,I,40,Accommodation and food service,04055,Accommodation and food service - small establishments,Small,66,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Nonthaburi,Central,I,40,Accommodation and food service,04066,Accommodation and food service - medium establishments,Medium,16,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Nonthaburi,Central,J,50,Information and communication,05055,Information and communication - micro establishments,Micro,126,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Nonthaburi,Central,J,50,Information and communication,05055,Information and communication - small establishments,Small,33,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Nonthaburi,Central,J,50,Information and communication,05066,Information and communication - medium establishments,Medium,6,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Nonthaburi,Central,M,60,Professional and technical services,06055,Professional and technical services - micro establishments,Micro,167,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Nonthaburi,Central,M,60,Professional and technical services,06055,Professional and technical services - small establishments,Small,36,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Nonthaburi,Central,M,60,Professional and technical services,06066,Professional and technical services - medium establishments,Medium,9,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Pathum Thani,Central,A,10,Agriculture and food processing,01055,Agriculture and food processing - micro establishments,Micro,281,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Pathum Thani,Central,A,10,Agriculture and food processing,01055,Agriculture and food processing - small establishments,Small,71,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Pathum Thani,Central,A,10,Agriculture and food processing,01066,Agriculture and food processing - medium establishments,Medium,16,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Pathum Thani,Central,C,20,Manufacturing,02055,Manufacturing - micro establishments,Micro,384,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Pathum Thani,Central,C,20,Manufacturing,02055,Manufacturing - small establishments,Small,78,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Pathum Thani,Central,C,20,Manufacturing,02066,Manufacturing - medium establishments,Medium,19,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Pathum Thani,Central,G,30,Wholesale and retail trade,03055,Wholesale and retail trade - micro establishments,Micro,436,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Pathum Thani,Central,G,30,Wholesale and retail trade,03055,Wholesale and retail trade - small establishments,Small,103,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Pathum Thani,Central,G,30,Wholesale and retail trade,03066,Wholesale and retail trade - medium establishments,Medium,21,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Pathum Thani,Central,I,40,Accommodation and food service,04055,Accommodation and food service - micro establishments,Micro,354,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Pathum Thani,Central,I,40,Accommodation and food service,04055,Accommodation and food service - small establishments,Small,76,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Pathum Thani,Central,I,40,Accommodation and food service,04066,Accommodation and food service - medium establishments,Medium,20,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Pathum Thani,Central,J,50,Information and communication,05055,Information and communication - micro establishments,Micro,154,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Pathum Thani,Central,J,50,Information and communication,05055,Information and communication - small establishments,Small,34,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Pathum Thani,Central,J,50,Information and communication,05066,Information and communication - medium establishments,Medium,8,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Pathum Thani,Central,M,60,Professional and technical services,06055,Professional and technical services - micro establishments,Micro,218,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Pathum Thani,Central,M,60,Professional and technical services,06055,Professional and technical services - small establishments,Small,49,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Pathum Thani,Central,M,60,Professional and technical services,06066,Professional and technical services - medium establishments,Medium,10,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Samut Prakan,Central,A,10,Agriculture and food processing,01055,Agriculture and food processing - micro establishments,Micro,280,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Samut Prakan,Central,A,10,Agriculture and food processing,01055,Agriculture and food processing - small establishments,Small,70,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Samut Prakan,Central,A,10,Agriculture and food processing,01066,Agriculture and food processing - medium establishments,Medium,15,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Samut Prakan,Central,C,20,Manufacturing,02055,Manufacturing - micro establishments,Micro,380,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Samut Prakan,Central,C,20,Manufacturing,02055,Manufacturing - small establishments,Small,94,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Samut Prakan,Central,C,20,Manufacturing,02066,Manufacturing - medium establishments,Medium,18,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Samut Prakan,Central,G,30,Wholesale and retail trade,03055,Wholesale and retail trade - micro establishments,Micro,415,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Samut Prakan,Central,G,30,Wholesale and retail trade,03055,Wholesale and retail trade - small establishments,Small,96,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Samut Prakan,Central,G,30,Wholesale and retail trade,03066,Wholesale and retail trade - medium establishments,Medium,23,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Samut Prakan,Central,I,40,Accommodation and food service,04055,Accommodation and food service - micro establishments,Micro,357,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Samut Prakan,Central,I,40,Accommodation and food service,04055,Accommodation and food service - small establishments,Small,87,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Samut Prakan,Central,I,40,Accommodation and food service,04066,Accommodation and food service - medium establishments,Medium,17,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Samut Prakan,Central,J,50,Information and communication,05055,Information and communication - micro establishments,Micro,159,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Samut Prakan,Central,J,50,Information and communication,05055,Information and communication - small establishments,Small,35,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Samut Prakan,Central,J,50,Information and communication,05066,Information and communication - medium establishments,Medium,9,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Samut Prakan,Central,M,60,Professional and technical services,06055,Professional and technical services - micro establishments,Micro,220,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Samut Prakan,Central,M,60,Professional and technical services,06055,Professional and technical services - small establishments,Small,47,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Samut Prakan,Central,M,60,Professional and technical services,06066,Professional and technical services - medium establishments,Medium,10,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Ayutthaya,Central,A,10,Agriculture and food processing,01055,Agriculture and food processing - micro establishments,Micro,195,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Ayutthaya,Central,A,10,Agriculture and food processing,01055,Agriculture and food processing - small establishments,Small,53,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Ayutthaya,Central,A,10,Agriculture and food processing,01066,Agriculture and food processing - medium establishments,Medium,11,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Ayutthaya,Central,C,20,Manufacturing,02055,Manufacturing - micro establishments,Micro,280,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Ayutthaya,Central,C,20,Manufacturing,02055,Manufacturing - small establishments,Small,61,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Ayutthaya,Central,C,20,Manufacturing,02066,Manufacturing - medium establishments,Medium,13,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Ayutthaya,Central,G,30,Wholesale and retail trade,03055,Wholesale and retail trade - micro establishments,Micro,322,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Ayutthaya,Central,G,30,Wholesale and retail trade,03055,Wholesale and retail trade - small establishments,Small,67,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Ayutthaya,Central,G,30,Wholesale and retail trade,03066,Wholesale and retail trade - medium establishments,Medium,17,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Ayutthaya,Central,I,40,Accommodation and food service,04055,Accommodation and food service - micro establishments,Micro,252,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Ayutthaya,Central,I,40,Accommodation and food service,04055,Accommodation and food service - small establishments,Small,60,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Ayutthaya,Central,I,40,Accommodation and food service,04066,Accommodation and food service - medium establishments,Medium,15,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Ayutthaya,Central,J,50,Information and communication,05055,Information and communication - micro establishments,Micro,118,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Ayutthaya,Central,J,50,Information and communication,05055,Information and communication - small establishments,Small,25,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Ayutthaya,Central,J,50,Information and communication,05066,Information and communication - medium establishments,Medium,7,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Ayutthaya,Central,M,60,Professional and technical services,06055,Professional and technical services - micro establishments,Micro,159,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Ayutthaya,Central,M,60,Professional and technical services,06055,Professional and technical services - small establishments,Small,35,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Ayutthaya,Central,M,60,Professional and technical services,06066,Professional and technical services - medium establishments,Medium,7,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Saraburi,Central,A,10,Agriculture and food processing,01055,Agriculture and food processing - micro establishments,Micro,195,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Saraburi,Central,A,10,Agriculture and food processing,01055,Agriculture and food processing - small establishments,Small,44,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Saraburi,Central,A,10,Agriculture and food processing,01066,Agriculture and food processing - medium establishments,Medium,11,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Saraburi,Central,C,20,Manufacturing,02055,Manufacturing - micro establishments,Micro,293,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Saraburi,Central,C,20,Manufacturing,02055,Manufacturing - small establishments,Small,66,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Saraburi,Central,C,20,Manufacturing,02066,Manufacturing - medium establishments,Medium,14,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Saraburi,Central,G,30,Wholesale and retail trade,03055,Wholesale and retail trade - micro establishments,Micro,364,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Saraburi,Central,G,30,Wholesale and retail trade,03055,Wholesale and retail trade - small establishments,Small,70,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Saraburi,Central,G,30,Wholesale and retail trade,03066,Wholesale and retail trade - medium establishments,Medium,18,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Saraburi,Central,I,40,Accommodation and food service,04055,Accommodation and food service - micro establishments,Micro,270,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Saraburi,Central,I,40,Accommodation and food service,04055,Accommodation and food service - small establishments,Small,64,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Saraburi,Central,I,40,Accommodation and food service,04066,Accommodation and food service - medium establishments,Medium,15,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Saraburi,Central,J,50,Information and communication,05055,Information and communication - micro establishments,Micro,113,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Saraburi,Central,J,50,Information and communication,05055,Information and communication - small establishments,Small,27,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Saraburi,Central,J,50,Information and communication,05066,Information and communication - medium establishments,Medium,7,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Saraburi,Central,M,60,Professional and technical services,06055,Professional and technical services - micro establishments,Micro,160,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Saraburi,Central,M,60,Professional and technical services,06055,Professional and technical services - small establishments,Small,34,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Saraburi,Central,M,60,Professional and technical services,06066,Professional and technical services - medium establishments,Medium,7,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Lopburi,Central,A,10,Agriculture and food processing,01055,Agriculture and food processing - micro establishments,Micro,202,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Lopburi,Central,A,10,Agriculture and food processing,01055,Agriculture and food processing - small establishments,Small,44,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Lopburi,Central,A,10,Agriculture and food processing,01066,Agriculture and food processing - medium establishments,Medium,10,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Lopburi,Central,C,20,Manufacturing,02055,Manufacturing - micro establishments,Micro,273,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Lopburi,Central,C,20,Manufacturing,02055,Manufacturing - small establishments,Small,53,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Lopburi,Central,C,20,Manufacturing,02066,Manufacturing - medium establishments,Medium,11,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Lopburi,Central,G,30,Wholesale and retail trade,03055,Wholesale and retail trade - micro establishments,Micro,303,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Lopburi,Central,G,30,Wholesale and retail trade,03055,Wholesale and retail trade - small establishments,Small,75,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Lopburi,Central,G,30,Wholesale and retail trade,03066,Wholesale and retail trade - medium establishments,Medium,15,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Lopburi,Central,I,40,Accommodation and food service,04055,Accommodation and food service - micro establishments,Micro,237,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Lopburi,Central,I,40,Accommodation and food service,04055,Accommodation and food service - small establishments,Small,64,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Lopburi,Central,I,40,Accommodation and food service,04066,Accommodation and food service - medium establishments,Medium,13,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Lopburi,Central,J,50,Information and communication,05055,Information and communication - micro establishments,Micro,118,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Lopburi,Central,J,50,Information and communication,05055,Information and communication - small establishments,Small,23,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Lopburi,Central,J,50,Information and communication,05066,Information and communication - medium establishments,Medium,6,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Lopburi,Central,M,60,Professional and technical services,06055,Professional and technical services - micro establishments,Micro,136,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Lopburi,Central,M,60,Professional and technical services,06055,Professional and technical services - small establishments,Small,35,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Lopburi,Central,M,60,Professional and technical services,06066,Professional and technical services - medium establishments,Medium,7,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Sing Buri,Central,A,10,Agriculture and food processing,01055,Agriculture and food processing - micro establishments,Micro,239,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Sing Buri,Central,A,10,Agriculture and food processing,01055,Agriculture and food processing - small establishments,Small,52,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Sing Buri,Central,A,10,Agriculture and food processing,01066,Agriculture and food processing - medium establishments,Medium,14,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Sing Buri,Central,C,20,Manufacturing,02055,Manufacturing - micro establishments,Micro,304,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Sing Buri,Central,C,20,Manufacturing,02055,Manufacturing - small establishments,Small,62,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Sing Buri,Central,C,20,Manufacturing,02066,Manufacturing - medium establishments,Medium,14,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Sing Buri,Central,G,30,Wholesale and retail trade,03055,Wholesale and retail trade - micro establishments,Micro,394,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Sing Buri,Central,G,30,Wholesale and retail trade,03055,Wholesale and retail trade - small establishments,Small,92,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Sing Buri,Central,G,30,Wholesale and retail trade,03066,Wholesale and retail trade - medium establishments,Medium,19,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Sing Buri,Central,I,40,Accommodation and food service,04055,Accommodation and food service - micro establishments,Micro,295,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Sing Buri,Central,I,40,Accommodation and food service,04055,Accommodation and food service - small establishments,Small,60,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Sing Buri,Central,I,40,Accommodation and food service,04066,Accommodation and food service - medium establishments,Medium,15,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Sing Buri,Central,J,50,Information and communication,05055,Information and communication - micro establishments,Micro,132,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Sing Buri,Central,J,50,Information and communication,05055,Information and communication - small establishments,Small,30,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Sing Buri,Central,J,50,Information and communication,05066,Information and communication - medium establishments,Medium,6,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Sing Buri,Central,M,60,Professional and technical services,06055,Professional and technical services - micro establishments,Micro,179,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Sing Buri,Central,M,60,Professional and technical services,06055,Professional and technical services - small establishments,Small,42,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Sing Buri,Central,M,60,Professional and technical services,06066,Professional and technical services - medium establishments,Medium,9,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Ang Thong,Central,A,10,Agriculture and food processing,01055,Agriculture and food processing - micro establishments,Micro,223,SYNTHETIC SAMPLE - generated from Scout metadata,2018
