column,dtype,missing_pct,n_unique,sample_value,role_hint,coverage,share
collateral_value_pct_loan,float64,54.55,208,142.3,feature,45.45,45.45
firm_id,str,0.0,770,THA-01-001,identifier,100.0,100.0
labor_productivity_thb_per_worker,int64,0.0,768,184941,feature,100.0,100.0
weight,float64,0.0,751,7.2305,feature,100.0,100.0
annual_sales_million_thb,float64,0.0,492,5.55,feature,100.0,100.0
working_capital_financed_by_banks_pct,float64,0.0,267,49.4,feature,100.0,100.0
investment_financed_by_banks_pct,float64,0.0,247,34.5,feature,100.0,100.0
capacity_utilization_pct,float64,0.0,199,81.6,feature,100.0,100.0
practices_of_informal_competitors_pct,float64,0.0,165,28.3,feature,100.0,100.0
losses_due_power_outages_pct_sales,float64,0.0,154,1.51,feature,100.0,100.0
female_full_time_workers_pct,float64,0.0,142,40.1,time,100.0,100.0
working_capital_financed_by_supplier_credit_pct,float64,0.0,130,8.2,feature,100.0,100.0
security_costs_pct_sales,float64,0.0,127,1.44,feature,100.0,100.0
sales_growth_pct,float64,0.0,122,12.6,feature,100.0,100.0
permanent_full_time_workers,int64,0.0,101,30,time,100.0,100.0
losses_due_theft_pct_sales,float64,0.0,96,0.68,feature,100.0,100.0
senior_management_time_regulation_pct,float64,0.0,78,11.0,time,100.0,100.0
province_code,str,0.0,77,TH-01,feature,100.0,100.0
province_name,str,0.0,77,Bangkok,feature,100.0,100.0
province_gpp_per_capita_proxy_thb,int64,0.0,75,1053900,feature,100.0,100.0
indirect_exports_pct_sales,float64,0.0,68,0.0,feature,100.0,100.0
power_outages_count_year,float64,0.0,67,6.0,time,100.0,100.0
province_population_proxy_million,float64,0.0,60,5.5,feature,100.0,100.0
water_insufficiencies_count_year,float64,0.0,50,3.2,time,100.0,100.0
foreign_ownership_pct,float64,0.0,44,11.6,feature,100.0,100.0
private_domestic_ownership_pct,float64,0.0,44,88.4,feature,100.0,100.0
direct_exports_pct_sales,float64,0.0,36,0.0,feature,100.0,100.0
days_to_get_construction_permit,int64,0.0,33,63,feature,100.0,100.0
years_operating,int64,0.0,28,2,time,100.0,100.0
temporary_workers,int64,0.0,27,3,feature,100.0,100.0
province_urbanization_proxy,float64,0.0,27,1.0,feature,100.0,100.0
province_agriculture_share_proxy,float64,0.0,23,0.02,feature,100.0,100.0
province_industry_share_proxy,float64,0.0,23,0.26,feature,100.0,100.0
province_services_share_proxy,float64,0.0,23,0.72,feature,100.0,100.0
days_to_get_electricity,int64,0.0,18,16,feature,100.0,100.0
days_to_clear_exports_customs,int64,0.0,11,4,feature,100.0,100.0
industry_isic_like,str,0.0,10,hotel_restaurant,feature,100.0,100.0
thai_region,str,0.0,6,Central,feature,100.0,100.0
strata_region,str,0.0,6,Central,feature,100.0,100.0
strata_size,str,0.0,3,small,feature,100.0,100.0
strata_sector,str,0.0,3,services,feature,100.0,100.0
legal_status,str,0.0,3,limited_company,feature,100.0,100.0
female_top_manager,int64,0.0,2,0,feature,100.0,100.0
female_ownership,int64,0.0,2,0,feature,100.0,100.0
exporter_direct,int64,0.0,2,0,feature,100.0,100.0
uses_email,int64,0.0,2,1,feature,100.0,100.0
has_website,int64,0.0,2,1,feature,100.0,100.0
uses_digital_payments,int64,0.0,2,0,feature,100.0,100.0
introduced_new_product,int64,0.0,2,0,feature,100.0,100.0
has_international_quality_certification,int64,0.0,2,0,feature,100.0,100.0
uses_foreign_licensed_technology,int64,0.0,2,0,feature,100.0,100.0
formal_training,int64,0.0,2,0,feature,100.0,100.0
generator_owned,int64,0.0,2,0,feature,100.0,100.0
informal_payments_expected,int64,0.0,2,0,feature,100.0,100.0
checking_savings_account,int64,0.0,2,1,numeric-driver,100.0,100.0
line_of_credit_or_loan,int64,0.0,2,1,feature,100.0,100.0
loan_rejected_recently,int64,0.0,2,0,feature,100.0,100.0
collateral_required,int64,0.0,2,1,feature,100.0,100.0
tax_rate_obstacle,int64,0.0,2,1,feature,100.0,100.0
tax_administration_obstacle,int64,0.0,2,0,feature,100.0,100.0
customs_trade_regulations_obstacle,int64,0.0,2,0,feature,100.0,100.0
labor_regulations_obstacle,int64,0.0,2,0,feature,100.0,100.0
inadequately_educated_workforce_obstacle,int64,0.0,2,0,feature,100.0,100.0
access_to_finance_obstacle,int64,0.0,2,0,feature,100.0,100.0
electricity_obstacle,int64,0.0,2,1,feature,100.0,100.0
transport_obstacle,int64,0.0,2,0,feature,100.0,100.0
political_instability_obstacle,int64,0.0,2,1,feature,100.0,100.0
corruption_obstacle,int64,0.0,2,0,feature,100.0,100.0
informal_competition_obstacle,int64,0.0,2,1,feature,100.0,100.0
court_system_obstacle,int64,0.0,2,1,feature,100.0,100.0
crime_theft_disorder_obstacle,int64,0.0,2,0,feature,100.0,100.0
survey_id,str,0.0,1,THA_SIM_ES_2026,identifier,100.0,100.0
source_status,str,0.0,1,Simulated from public World Bank metadata,feature,100.0,100.0
country_code,str,0.0,1,THA,numeric-driver,100.0,100.0
country_name,str,0.0,1,Thailand,numeric-driver,100.0,100.0
survey_year,int64,0.0,1,2026,time,100.0,100.0
wb_region,str,0.0,1,East Asia & Pacific,feature,100.0,100.0
state_ownership_pct,int64,0.0,1,0,feature,100.0,100.0
is_return,int64,0.0,1,0,feature,100.0,100.0
is_cancellation,int64,0.0,1,0,feature,100.0,100.0
is_outlier,int64,0.0,1,0,feature,100.0,100.0
revenue,float64,0.0,1,0.0,numeric-driver,100.0,100.0
