row_index,column_name,value,verdict,reason,action
279,product_name_lenght,19.0,Likely Real,"product_name_lenght=19.0000 (IQR outlier, bounds=[19.50, 79.50])",flagged
397,product_name_lenght,18.0,Likely Real,"product_name_lenght=18.0000 (IQR outlier, bounds=[19.50, 79.50])",flagged
447,product_name_lenght,17.0,Likely Real,"product_name_lenght=17.0000 (IQR outlier, bounds=[19.50, 79.50])",flagged
774,product_name_lenght,18.0,Likely Real,"product_name_lenght=18.0000 (IQR outlier, bounds=[19.50, 79.50])",flagged
811,product_name_lenght,15.0,Likely Real,"product_name_lenght=15.0000 (IQR outlier, bounds=[19.50, 79.50])",flagged
856,product_name_lenght,16.0,Likely Real,"product_name_lenght=16.0000 (IQR outlier, bounds=[19.50, 79.50])",flagged
864,product_name_lenght,10.0,Likely Real,"product_name_lenght=10.0000 (IQR outlier, bounds=[19.50, 79.50])",flagged
946,product_name_lenght,17.0,Likely Real,"product_name_lenght=17.0000 (IQR outlier, bounds=[19.50, 79.50])",flagged
1143,product_name_lenght,15.0,Likely Real,"product_name_lenght=15.0000 (IQR outlier, bounds=[19.50, 79.50])",flagged
1349,product_name_lenght,18.0,Likely Real,"product_name_lenght=18.0000 (IQR outlier, bounds=[19.50, 79.50])",flagged
1430,product_name_lenght,19.0,Likely Real,"product_name_lenght=19.0000 (IQR outlier, bounds=[19.50, 79.50])",flagged
1468,product_name_lenght,16.0,Likely Real,"product_name_lenght=16.0000 (IQR outlier, bounds=[19.50, 79.50])",flagged
1632,product_name_lenght,16.0,Likely Real,"product_name_lenght=16.0000 (IQR outlier, bounds=[19.50, 79.50])",flagged
1755,product_name_lenght,19.0,Likely Real,"product_name_lenght=19.0000 (IQR outlier, bounds=[19.50, 79.50])",flagged
1881,product_name_lenght,14.0,Likely Real,"product_name_lenght=14.0000 (IQR outlier, bounds=[19.50, 79.50])",flagged
2045,product_name_lenght,19.0,Likely Real,"product_name_lenght=19.0000 (IQR outlier, bounds=[19.50, 79.50])",flagged
2163,product_name_lenght,18.0,Likely Real,"product_name_lenght=18.0000 (IQR outlier, bounds=[19.50, 79.50])",flagged
2237,product_name_lenght,19.0,Likely Real,"product_name_lenght=19.0000 (IQR outlier, bounds=[19.50, 79.50])",flagged
2305,product_name_lenght,16.0,Likely Real,"product_name_lenght=16.0000 (IQR outlier, bounds=[19.50, 79.50])",flagged
2355,product_name_lenght,19.0,Likely Real,"product_name_lenght=19.0000 (IQR outlier, bounds=[19.50, 79.50])",flagged
2401,product_name_lenght,14.0,Likely Real,"product_name_lenght=14.0000 (IQR outlier, bounds=[19.50, 79.50])",flagged
2461,product_name_lenght,17.0,Likely Real,"product_name_lenght=17.0000 (IQR outlier, bounds=[19.50, 79.50])",flagged
2591,product_name_lenght,15.0,Likely Real,"product_name_lenght=15.0000 (IQR outlier, bounds=[19.50, 79.50])",flagged
2699,product_name_lenght,15.0,Likely Real,"product_name_lenght=15.0000 (IQR outlier, bounds=[19.50, 79.50])",flagged
2751,product_name_lenght,19.0,Likely Real,"product_name_lenght=19.0000 (IQR outlier, bounds=[19.50, 79.50])",flagged
2852,product_name_lenght,19.0,Likely Real,"product_name_lenght=19.0000 (IQR outlier, bounds=[19.50, 79.50])",flagged
2857,product_name_lenght,9.0,Likely Real,"product_name_lenght=9.0000 (IQR outlier, bounds=[19.50, 79.50])",flagged
